genre,gross
Drama,362645141.0
Family,362645141.0
Fantasy,362645141.0
Action,312057433.0
Adventure,312057433.0
Sci-Fi,312057433.0
Action,155111815.0
Adventure,155111815.0
Drama,155111815.0
Fantasy,155111815.0
Action,241407328.0
Adventure,241407328.0
Family,241407328.0
Fantasy,241407328.0
Romance,241407328.0
Action,208543795.0
Adventure,208543795.0
Drama,208543795.0
Sci-Fi,208543795.0
Action,38297305.0
Adventure,38297305.0
Drama,38297305.0
Fantasy,38297305.0
Action,259746958.0
Adventure,259746958.0
Sci-Fi,259746958.0
Adventure,238371987.0
Animation,238371987.0
Comedy,238371987.0
Family,238371987.0
Fantasy,238371987.0
Action,93417865.0
Adventure,93417865.0
Family,93417865.0
Mystery,93417865.0
Sci-Fi,93417865.0
Action,222487711.0
Adventure,222487711.0
Animation,222487711.0
Comedy,222487711.0
Drama,222487711.0
Family,222487711.0
Sci-Fi,222487711.0
Adventure,189412677.0
Animation,189412677.0
Comedy,189412677.0
Family,189412677.0
Sci-Fi,189412677.0
Adventure,665426.0
Animation,665426.0
Family,665426.0
Fantasy,665426.0
Action,102315545.0
Adventure,102315545.0
Sci-Fi,102315545.0
Adventure,217387997.0
Animation,217387997.0
Family,217387997.0
Fantasy,217387997.0
Action,150350192.0
Sci-Fi,150350192.0
Action,333130696.0
Adventure,333130696.0
Sci-Fi,333130696.0
Adventure,187991439.0
Drama,187991439.0
Sci-Fi,187991439.0
Action,292568851.0
Adventure,292568851.0
Sci-Fi,292568851.0
Thriller,292568851.0
Action,144512310.0
Crime,144512310.0
Thriller,144512310.0
Drama,127490802.0
Fantasy,127490802.0
Romance,127490802.0
Action,146405371.0
Adventure,146405371.0
Sci-Fi,146405371.0
Adventure,281666058.0
Sci-Fi,281666058.0
Action,63143812.0
Adventure,63143812.0
Family,63143812.0
Fantasy,63143812.0
Action,60655503.0
Adventure,60655503.0
Drama,60655503.0
Thriller,60655503.0
Adventure,76846624.0
Family,76846624.0
Fantasy,76846624.0
Adventure,320706665.0
Animation,320706665.0
Comedy,320706665.0
Family,320706665.0
Fantasy,320706665.0
Action,46978995.0
Adventure,46978995.0
Fantasy,46978995.0
Action,89732035.0
Adventure,89732035.0
Sci-Fi,89732035.0
Adventure,104383624.0
Family,104383624.0
Fantasy,104383624.0
Action,198539855.0
Drama,198539855.0
History,198539855.0
Romance,198539855.0
War,198539855.0
Action,318759914.0
Adventure,318759914.0
Sci-Fi,318759914.0
Action,34293771.0
Adventure,34293771.0
Biography,34293771.0
Drama,34293771.0
History,34293771.0
Romance,34293771.0
War,34293771.0
Adventure,292000866.0
Family,292000866.0
Fantasy,292000866.0
Mystery,292000866.0
Adventure,289994397.0
Family,289994397.0
Fantasy,289994397.0
Mystery,289994397.0
Action,227946274.0
Drama,227946274.0
Drama,256386216.0
Horror,256386216.0
Sci-Fi,256386216.0
Adventure,206456431.0
Comedy,206456431.0
Family,206456431.0
Fantasy,206456431.0
Animation,206435493.0
Comedy,206435493.0
Family,206435493.0
Fantasy,206435493.0
Action,205343774.0
Adventure,205343774.0
Action,179982968.0
Adventure,179982968.0
Animation,179982968.0
Comedy,179982968.0
Family,179982968.0
Adventure,177243721.0
Comedy,177243721.0
Family,177243721.0
Fantasy,177243721.0
Action,179883016.0
Adventure,179883016.0
Fantasy,179883016.0
Sci-Fi,179883016.0
Thriller,179883016.0
Action,139259759.0
Sci-Fi,139259759.0
Adventure,400736600.0
Animation,400736600.0
Comedy,400736600.0
Family,400736600.0
Fantasy,400736600.0
Musical,400736600.0
Action,281492479.0
Sci-Fi,281492479.0
Action,206360018.0
Adventure,206360018.0
Fantasy,206360018.0
Action,153629485.0
Adventure,153629485.0
Sci-Fi,153629485.0
Thriller,153629485.0
Mystery,133375846.0
Thriller,133375846.0
Action,181015141.0
Adventure,181015141.0
Fantasy,181015141.0
Adventure,114053579.0
Animation,114053579.0
Comedy,114053579.0
Drama,114053579.0
Family,114053579.0
Action,119420252.0
Adventure,119420252.0
Animation,119420252.0
Comedy,119420252.0
Family,119420252.0
Fantasy,119420252.0
Sci-Fi,119420252.0
Action,83640426.0
Adventure,83640426.0
Fantasy,83640426.0
Comedy,79711678.0
Fantasy,79711678.0
Horror,79711678.0
Action,195000874.0
Adventure,195000874.0
Thriller,195000874.0
Drama,61937495.0
Fantasy,61937495.0
Horror,61937495.0
Thriller,61937495.0
Action,124051759.0
Adventure,124051759.0
Drama,124051759.0
Romance,124051759.0
Adventure,126597121.0
Animation,126597121.0
Comedy,126597121.0
Family,126597121.0
Action,165230261.0
Adventure,165230261.0
Animation,165230261.0
Comedy,165230261.0
Family,165230261.0
Action,131564731.0
Adventure,131564731.0
Family,131564731.0
Fantasy,131564731.0
Action,133382309.0
Adventure,133382309.0
Thriller,133382309.0
Action,73103784.0
Drama,73103784.0
Thriller,73103784.0
Action,21379315.0
Adventure,21379315.0
Animation,21379315.0
Comedy,21379315.0
Family,21379315.0
Sci-Fi,21379315.0
Adventure,64459316.0
Animation,64459316.0
Comedy,64459316.0
Family,64459316.0
Adventure,34964818.0
Family,34964818.0
Fantasy,34964818.0
Adventure,111505642.0
Animation,111505642.0
Comedy,111505642.0
Family,111505642.0
Sci-Fi,111505642.0
Adventure,133228348.0
Adventure,216366733.0
Animation,216366733.0
Comedy,216366733.0
Family,216366733.0
Action,160201106.0
Adventure,160201106.0
Thriller,160201106.0
Action,118099659.0
Comedy,118099659.0
Fantasy,118099659.0
Sci-Fi,118099659.0
Action,201573391.0
Adventure,201573391.0
Sci-Fi,201573391.0
Thriller,201573391.0
Action,190418803.0
Adventure,190418803.0
Comedy,190418803.0
Family,190418803.0
Fantasy,190418803.0
Mystery,190418803.0
Sci-Fi,190418803.0
Action,82161969.0
Adventure,82161969.0
Animation,82161969.0
Fantasy,82161969.0
Action,143523463.0
Adventure,143523463.0
Animation,143523463.0
Comedy,143523463.0
Family,143523463.0
Action,209364921.0
Adventure,209364921.0
Thriller,209364921.0
Adventure,103400692.0
Animation,103400692.0
Family,103400692.0
Fantasy,103400692.0
Comedy,110332737.0
Crime,110332737.0
Action,111110575.0
Drama,111110575.0
History,111110575.0
War,111110575.0
Action,65007045.0
Adventure,65007045.0
Drama,65007045.0
Action,257704099.0
Adventure,257704099.0
Sci-Fi,257704099.0
Action,403706375.0
Adventure,403706375.0
Fantasy,403706375.0
Romance,403706375.0
Action,176997107.0
Adventure,176997107.0
Animation,176997107.0
Comedy,176997107.0
Family,176997107.0
Fantasy,176997107.0
Action,31141074.0
Adventure,31141074.0
Fantasy,31141074.0
Action,31704416.0
Adventure,31704416.0
Sci-Fi,31704416.0
Thriller,31704416.0
Action,107503316.0
Drama,107503316.0
Mystery,107503316.0
Sci-Fi,107503316.0
Action,129734803.0
Crime,129734803.0
Thriller,129734803.0
Action,132122995.0
Sci-Fi,132122995.0
Action,122512052.0
Adventure,122512052.0
Sci-Fi,122512052.0
Thriller,122512052.0
Action,68642452.0
Adventure,68642452.0
Comedy,68642452.0
Thriller,68642452.0
Action,32131830.0
Adventure,32131830.0
Animation,32131830.0
Fantasy,32131830.0
Romance,32131830.0
Sci-Fi,32131830.0
Action,176636816.0
Adventure,176636816.0
Sci-Fi,176636816.0
Action,126930660.0
Adventure,126930660.0
Thriller,126930660.0
Action,93926386.0
Adventure,93926386.0
Drama,93926386.0
History,93926386.0
War,93926386.0
Adventure,292298923.0
Drama,292298923.0
Fantasy,292298923.0
Romance,292298923.0
Animation,63992328.0
Comedy,63992328.0
Family,63992328.0
Musical,63992328.0
Action,134518390.0
Adventure,134518390.0
Sci-Fi,134518390.0
Adventure,52792307.0
Family,52792307.0
Fantasy,52792307.0
Adventure,183635922.0
Drama,183635922.0
Thriller,183635922.0
Western,183635922.0
Adventure,83024900.0
Animation,83024900.0
Comedy,83024900.0
Family,83024900.0
Sport,83024900.0
Adventure,123207194.0
Animation,123207194.0
Comedy,123207194.0
Family,123207194.0
Western,123207194.0
Adventure,83348920.0
Animation,83348920.0
Comedy,83348920.0
Family,83348920.0
Action,227137090.0
Mystery,227137090.0
Thriller,227137090.0
Action,215395021.0
Adventure,215395021.0
Animation,215395021.0
Comedy,215395021.0
Family,215395021.0
Action,180191634.0
Adventure,180191634.0
Comedy,180191634.0
Sci-Fi,180191634.0
Adventure,424645577.0
Sci-Fi,424645577.0
Thriller,424645577.0
Adventure,292298923.0
Drama,292298923.0
Fantasy,292298923.0
Romance,292298923.0
Adventure,177343675.0
Animation,177343675.0
Comedy,177343675.0
Family,177343675.0
Fantasy,177343675.0
Sci-Fi,177343675.0
Adventure,234277056.0
Sci-Fi,234277056.0
Thriller,234277056.0
Action,138396624.0
Comedy,138396624.0
Crime,138396624.0
Thriller,138396624.0
Action,149234747.0
Adventure,149234747.0
Animation,149234747.0
Comedy,149234747.0
Family,149234747.0
Fantasy,149234747.0
Action,118311368.0
Crime,118311368.0
Mystery,118311368.0
Thriller,118311368.0
Action,101160529.0
Adventure,101160529.0
Drama,101160529.0
Action,77564037.0
Adventure,77564037.0
Family,77564037.0
Mystery,77564037.0
Adventure,249358727.0
Family,249358727.0
Fantasy,249358727.0
Mystery,249358727.0
Adventure,49551662.0
Drama,49551662.0
Romance,49551662.0
War,49551662.0
Action,60522097.0
Adventure,60522097.0
Sci-Fi,60522097.0
Adventure,137748063.0
Animation,137748063.0
Family,137748063.0
Thriller,137748063.0
Adventure,113733726.0
Comedy,113733726.0
Family,113733726.0
Fantasy,113733726.0
Action,148337537.0
Animation,148337537.0
Comedy,148337537.0
Family,148337537.0
Sci-Fi,148337537.0
Adventure,317557891.0
Family,317557891.0
Fantasy,317557891.0
Action,33592415.0
Comedy,33592415.0
Fantasy,33592415.0
Action,305388685.0
Adventure,305388685.0
Fantasy,305388685.0
Adventure,337103873.0
Sci-Fi,337103873.0
Thriller,337103873.0
Mystery,217536138.0
Thriller,217536138.0
Adventure,131536019.0
Animation,131536019.0
Comedy,131536019.0
Family,131536019.0
Musical,131536019.0
Action,214948780.0
Adventure,214948780.0
Fantasy,214948780.0
Sci-Fi,214948780.0
Thriller,214948780.0
Action,209805005.0
Crime,209805005.0
Thriller,209805005.0
Action,186830669.0
Adventure,186830669.0
Crime,186830669.0
Mystery,186830669.0
Thriller,186830669.0
Action,163192114.0
Adventure,163192114.0
Fantasy,163192114.0
Action,119412921.0
Sci-Fi,119412921.0
Action,32694788.0
Adventure,32694788.0
History,32694788.0
Action,113165635.0
Adventure,113165635.0
Thriller,113165635.0
Action,107285004.0
Comedy,260031035.0
Family,260031035.0
Fantasy,260031035.0
Action,186739919.0
Adventure,186739919.0
Sci-Fi,186739919.0
Thriller,186739919.0
Action,215397307.0
Adventure,215397307.0
Thriller,215397307.0
Action,182618434.0
Adventure,182618434.0
Drama,182618434.0
Thriller,182618434.0
Action,131920333.0
Adventure,131920333.0
Sci-Fi,131920333.0
Thriller,131920333.0
Adventure,124976634.0
Drama,124976634.0
Fantasy,124976634.0
Action,115802596.0
Fantasy,115802596.0
Thriller,115802596.0
Action,108521835.0
Thriller,108521835.0
Action,100685880.0
Adventure,100685880.0
Comedy,100685880.0
Crime,100685880.0
Adventure,126464904.0
Mystery,126464904.0
Sci-Fi,126464904.0
Adventure,64736114.0
Animation,64736114.0
Comedy,64736114.0
Family,64736114.0
Fantasy,64736114.0
Action,93050117.0
Drama,93050117.0
Sci-Fi,93050117.0
Thriller,93050117.0
Action,57637485.0
Adventure,57637485.0
Sci-Fi,57637485.0
Thriller,57637485.0
Action,58607007.0
Crime,58607007.0
Sci-Fi,58607007.0
Thriller,58607007.0
Action,43929341.0
Family,43929341.0
Sport,43929341.0
Comedy,30212620.0
Drama,30212620.0
Romance,30212620.0
Action,76418654.0
Comedy,76418654.0
Romance,76418654.0
Action,89021735.0
Adventure,89021735.0
Mystery,89021735.0
Sci-Fi,89021735.0
Action,380262555.0
Adventure,380262555.0
Fantasy,380262555.0
Sci-Fi,380262555.0
Action,310675583.0
Adventure,310675583.0
Fantasy,310675583.0
Sci-Fi,310675583.0
Adventure,289907418.0
Animation,289907418.0
Comedy,289907418.0
Family,289907418.0
Fantasy,289907418.0
Action,132550960.0
Adventure,132550960.0
Sci-Fi,132550960.0
Thriller,132550960.0
Action,474544677.0
Adventure,474544677.0
Fantasy,474544677.0
Sci-Fi,474544677.0
Adventure,187165546.0
Animation,187165546.0
Comedy,187165546.0
Family,187165546.0
Fantasy,187165546.0
Action,40911830.0
Drama,40911830.0
War,40911830.0
Action,47952020.0
Adventure,47952020.0
Drama,47952020.0
Fantasy,47952020.0
Action,190871240.0
Adventure,190871240.0
Comedy,190871240.0
Sci-Fi,190871240.0
Adventure,274084951.0
Drama,274084951.0
Sci-Fi,274084951.0
Thriller,274084951.0
Action,67155742.0
Adventure,67155742.0
Thriller,67155742.0
Action,56114221.0
Adventure,56114221.0
Sci-Fi,56114221.0
Action,250863268.0
Adventure,250863268.0
Comedy,250863268.0
Family,250863268.0
Fantasy,250863268.0
Action,155181732.0
Adventure,155181732.0
Drama,155181732.0
Thriller,155181732.0
Action,125332007.0
Adventure,125332007.0
Thriller,125332007.0
Action,113330342.0
Drama,113330342.0
History,113330342.0
War,113330342.0
Crime,125531634.0
Thriller,125531634.0
Action,186336103.0
Comedy,186336103.0
Crime,186336103.0
Romance,186336103.0
Thriller,186336103.0
Adventure,129995817.0
Sci-Fi,129995817.0
Thriller,129995817.0
Biography,102608827.0
Drama,102608827.0
Adventure,42776259.0
Comedy,42776259.0
Family,42776259.0
Fantasy,42776259.0
Action,98780042.0
Comedy,98780042.0
Crime,98780042.0
Sci-Fi,98780042.0
Thriller,98780042.0
Action,106369117.0
Drama,106369117.0
Fantasy,106369117.0
War,106369117.0
Adventure,142614158.0
Animation,142614158.0
Comedy,142614158.0
Family,142614158.0
Fantasy,142614158.0
Animation,50026353.0
Comedy,50026353.0
Family,50026353.0
Music,50026353.0
Western,50026353.0
Action,66002193.0
Adventure,66002193.0
Mystery,66002193.0
Sci-Fi,66002193.0
Thriller,66002193.0
Action,85463309.0
Drama,85463309.0
Sci-Fi,85463309.0
Sport,85463309.0
Adventure,71017784.0
Animation,71017784.0
Comedy,71017784.0
Family,71017784.0
Fantasy,71017784.0
Action,48068396.0
Crime,48068396.0
Romance,48068396.0
Thriller,48068396.0
Action,61656849.0
Sci-Fi,61656849.0
Action,134520804.0
Adventure,134520804.0
Thriller,134520804.0
Action,313837577.0
Adventure,313837577.0
Drama,313837577.0
Fantasy,313837577.0
Action,24004159.0
Adventure,24004159.0
Comedy,24004159.0
Biography,58183966.0
Drama,58183966.0
Sport,58183966.0
Adventure,100446895.0
Comedy,100446895.0
Family,100446895.0
Fantasy,100446895.0
Action,144795350.0
Mystery,144795350.0
Sci-Fi,144795350.0
Thriller,144795350.0
Action,47396698.0
Adventure,47396698.0
Drama,47396698.0
History,47396698.0
War,47396698.0
Adventure,140015224.0
Comedy,140015224.0
Family,140015224.0
Fantasy,140015224.0
Animation,104374107.0
Family,104374107.0
Fantasy,104374107.0
Musical,104374107.0
Romance,104374107.0
Adventure,228430993.0
Drama,228430993.0
Sci-Fi,228430993.0
Action,35799026.0
Adventure,35799026.0
Romance,35799026.0
Sci-Fi,35799026.0
Thriller,35799026.0
Comedy,6712451.0
Romance,6712451.0
Action,101643008.0
Crime,101643008.0
Thriller,101643008.0
Action,187670866.0
Drama,187670866.0
Romance,187670866.0
Action,132014112.0
Mystery,132014112.0
Sci-Fi,132014112.0
Thriller,132014112.0
Adventure,261970615.0
Family,261970615.0
Fantasy,261970615.0
Mystery,261970615.0
Action,167007184.0
Adventure,167007184.0
Thriller,167007184.0
Action,180011740.0
Adventure,180011740.0
Sci-Fi,180011740.0
Thriller,180011740.0
Action,204843350.0
Sci-Fi,204843350.0
Biography,97030725.0
Crime,97030725.0
Drama,97030725.0
History,97030725.0
Romance,97030725.0
Biography,130127620.0
Crime,130127620.0
Drama,130127620.0
Action,146282411.0
Comedy,146282411.0
Thriller,146282411.0
Action,65452312.0
Crime,65452312.0
Thriller,65452312.0
Comedy,148383780.0
Romance,148383780.0
Action,119219978.0
Comedy,119219978.0
Crime,119219978.0
Action,101228120.0
Drama,101228120.0
Mystery,101228120.0
Thriller,101228120.0
Drama,162804648.0
Western,162804648.0
Animation,100117603.0
Drama,100117603.0
Family,100117603.0
Musical,100117603.0
Romance,100117603.0
Adventure,89296573.0
Animation,89296573.0
Comedy,89296573.0
Family,89296573.0
Fantasy,89296573.0
Action,85017401.0
Adventure,85017401.0
Thriller,85017401.0
Action,173005002.0
Adventure,173005002.0
Comedy,173005002.0
Family,173005002.0
Mystery,173005002.0
Action,75030163.0
Adventure,75030163.0
Family,75030163.0
Fantasy,75030163.0
Adventure,77222184.0
Drama,77222184.0
Family,77222184.0
Fantasy,77222184.0
Adventure,34964818.0
Family,34964818.0
Fantasy,34964818.0
Adventure,107515297.0
Animation,107515297.0
Family,107515297.0
Fantasy,107515297.0
Action,67631157.0
Romance,67631157.0
Thriller,67631157.0
Action,66862068.0
Fantasy,66862068.0
Horror,66862068.0
Mystery,66862068.0
Adventure,57366262.0
Drama,57366262.0
Thriller,57366262.0
Biography,116866727.0
Comedy,116866727.0
Crime,116866727.0
Drama,116866727.0
Action,184031112.0
Adventure,184031112.0
Fantasy,184031112.0
Action,54700065.0
Sci-Fi,54700065.0
War,54700065.0
Drama,27098580.0
Sci-Fi,27098580.0
Action,55673333.0
Adventure,55673333.0
Animation,55673333.0
Family,55673333.0
Fantasy,55673333.0
Action,40198710.0
Crime,40198710.0
Fantasy,40198710.0
Romance,40198710.0
Thriller,40198710.0
Action,72660029.0
Adventure,72660029.0
Adventure,38120554.0
Animation,38120554.0
Family,38120554.0
Sci-Fi,38120554.0
Adventure,49392095.0
Comedy,49392095.0
Sci-Fi,49392095.0
Action,39292022.0
Adventure,39292022.0
Thriller,39292022.0
Action,28772222.0
Crime,28772222.0
Sport,28772222.0
Thriller,28772222.0
Comedy,17010646.0
Family,17010646.0
Fantasy,17010646.0
Action,24985612.0
Adventure,24985612.0
Biography,24985612.0
Drama,24985612.0
History,24985612.0
Thriller,24985612.0
Action,4411102.0
Comedy,4411102.0
Sci-Fi,4411102.0
Action,35024475.0
Drama,35024475.0
Thriller,35024475.0
War,35024475.0
Adventure,130174897.0
Animation,130174897.0
Comedy,130174897.0
Family,130174897.0
Drama,10200000.0
Mystery,10200000.0
Thriller,10200000.0
Action,202007640.0
Adventure,202007640.0
Fantasy,202007640.0
Thriller,202007640.0
Crime,77679638.0
Drama,77679638.0
Drama,9213.0
History,9213.0
Romance,9213.0
War,9213.0
Animation,58867694.0
Comedy,58867694.0
Family,58867694.0
Sport,58867694.0
Comedy,59475623.0
Sci-Fi,59475623.0
Thriller,59475623.0
Drama,108638745.0
History,108638745.0
War,108638745.0
Comedy,86897182.0
Action,63540020.0
Adventure,63540020.0
Sci-Fi,63540020.0
Comedy,95328937.0
Drama,95328937.0
Romance,95328937.0
Adventure,50802661.0
Animation,50802661.0
Comedy,50802661.0
Family,50802661.0
Romance,50802661.0
Adventure,161317423.0
Animation,161317423.0
Comedy,161317423.0
Family,161317423.0
Drama,201148159.0
Family,201148159.0
Fantasy,201148159.0
Romance,201148159.0
Drama,43982842.0
Fantasy,43982842.0
Thriller,43982842.0
Adventure,380838870.0
Animation,380838870.0
Comedy,380838870.0
Family,380838870.0
Action,377019252.0
Adventure,377019252.0
Drama,377019252.0
Fantasy,377019252.0
Action,340478898.0
Adventure,340478898.0
Drama,340478898.0
Fantasy,340478898.0
Action,17176900.0
Adventure,17176900.0
Fantasy,17176900.0
Action,131144183.0
Adventure,131144183.0
Fantasy,131144183.0
Thriller,131144183.0
Drama,23014504.0
Mystery,23014504.0
Romance,23014504.0
Sci-Fi,23014504.0
Thriller,23014504.0
Action,181166115.0
Adventure,181166115.0
Sci-Fi,181166115.0
Thriller,181166115.0
Action,176740650.0
Drama,176740650.0
Sci-Fi,176740650.0
Thriller,176740650.0
Adventure,71148699.0
Family,71148699.0
Fantasy,71148699.0
Action,67344392.0
Thriller,67344392.0
Drama,22406362.0
History,22406362.0
War,22406362.0
Western,22406362.0
Action,261437578.0
Adventure,261437578.0
Animation,261437578.0
Family,261437578.0
Action,11000000.0
Adventure,11000000.0
Comedy,11000000.0
Adventure,88761720.0
Family,88761720.0
Fantasy,88761720.0
Adventure,250147615.0
Comedy,250147615.0
Family,250147615.0
Mystery,250147615.0
Sci-Fi,250147615.0
Adventure,245823397.0
Animation,245823397.0
Comedy,245823397.0
Family,245823397.0
Fantasy,245823397.0
Action,81557479.0
Thriller,81557479.0
Action,226138454.0
Comedy,226138454.0
Crime,226138454.0
Thriller,226138454.0
Drama,155370362.0
Fantasy,155370362.0
Horror,155370362.0
Mystery,155370362.0
Thriller,155370362.0
Animation,124870275.0
Comedy,124870275.0
Family,124870275.0
Sci-Fi,124870275.0
Action,196573705.0
Adventure,196573705.0
Animation,196573705.0
Comedy,196573705.0
Family,196573705.0
Adventure,58229120.0
Comedy,58229120.0
Drama,58229120.0
Fantasy,58229120.0
Romance,58229120.0
Action,125305545.0
Adventure,125305545.0
Comedy,125305545.0
Crime,125305545.0
Thriller,125305545.0
Crime,132373442.0
Drama,132373442.0
Thriller,132373442.0
Adventure,120618403.0
Animation,120618403.0
Family,120618403.0
Fantasy,120618403.0
Musical,120618403.0
War,120618403.0
Action,110416702.0
Comedy,110416702.0
Crime,102515793.0
Drama,102515793.0
Mystery,102515793.0
Thriller,102515793.0
Action,100012500.0
Adventure,100012500.0
Thriller,100012500.0
Action,209019489.0
Adventure,209019489.0
Crime,209019489.0
Mystery,209019489.0
Thriller,209019489.0
Action,84037039.0
Adventure,84037039.0
Animation,84037039.0
Family,84037039.0
Fantasy,84037039.0
Sci-Fi,84037039.0
Adventure,85884815.0
Animation,85884815.0
Comedy,85884815.0
Family,85884815.0
